Description,Image,Gender,Specifications
Train All Dry Fit T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27628428/2024/2/16/6f102bcd-bba6-49f7-a6cd-f65743f723151708028279059TrainAllDryFitT-shirt6.jpg",women,"{'Fabric': 'Polyester', 'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'New Basics', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Sports'}"
Women Fitted T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/30154516/2024/7/8/61e1ca57-b969-4785-a0de-832649422d951720459521435HMWomenFittedT-shirt1.jpg",women,"{'Fabric': 'Cotton', 'Fit': 'Regular Fit', 'Length': 'Crop', 'Main Trend': 'New Basics', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Women Printed Cotton Lounge Tshirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/19651316/2022/8/25/67525650-7a5b-498b-8072-d5d1e006486c1661403502771EnamorWomensEssentialsE147-ShortSleeveCrewNeckSlimFitStretch1.jpg",women,"{'Fabric': 'Cotton', 'Neck': 'Round Neck', 'Pattern': 'Printed', 'Sleeve Length': 'Short Sleeves', 'Sustainable': 'Regular', 'Type': 'Regular', 'Wash Care': 'Machine Wash'}"
Solid Lounge T-Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/13633638/2021/2/24/37102949-0815-4a10-ba9b-a845d09305d71614146466711WomenPinkWhiteCottonChikankariHandEmbroideredSareeLoungeTshi1.jpg",women,"{'Fabric': 'Cotton', 'Neck': 'Round Neck', 'Pattern': 'Solid', 'Sleeve Length': 'Short Sleeves', 'Sustainable': 'Regular', 'Type': 'Regular', 'Wash Care': 'Machine Wash'}"
Cotton Typography Pure Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/13270200/2021/7/22/8baf30df-efba-4714-9b34-d8dfac257e351626927002160-Roadster-Women-Red--Blue-Typography-Printed-Cotton-T-shirt-1-1.jpg",women,"{'Fabric': 'Pure Cotton', 'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'Typography or Slogan Print', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Occasion': 'Casual', 'Pattern': 'Printed'}"
Printed Pure Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23588680/2023/8/25/52fb2ed9-b425-46bb-86a8-939edb8ae5051692956386863-Kook-N-Keech-Women-Tshirts-9301692956386451-1.jpg",women,"{'Fabric': 'Pure Cotton', 'Fit': 'Oversized', 'Length': 'Regular', 'Main Trend': 'Typography or Slogan Print', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Women Ribbed T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28551734/2024/4/5/2c7240c2-8a98-4ca2-ac65-51affc39e1f61712302496521HMWomenRibbedT-shirt1.jpg",women,"{'Fabric': 'Cotton', 'Fabric 2': 'Elastane', 'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'Knits', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1'}"
Pure Cotton Striped T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23768308/2024/4/23/6cb7c3ed-f9bb-461b-bbc9-7ded071c46a91713871636013-Nautica-Women-Tshirts-7591713871635553-1.jpg",women,"{'Fabric': 'Pure Cotton', 'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'New Basics', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Ribbed Sweetheart-Neck T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2024/SEPTEMBER/10/Y89QZstF_9d002af3995e4bed93a7313bdbb1153c.jpg",women,"{'Fabric': 'Cotton', 'Fabric 2': 'Elastane', 'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'New Basics', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1'}"
Long Sleeves T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/30521947/2024/9/26/f6f7f421-3f6c-497a-8f26-cbf4b605acd01727334480438-Roadster-Women-Tshirts-6111727334480056-1.jpg",women,"{'Fabric': 'Cotton', 'Fabric 2': 'Polyester', 'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'New Basics', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1'}"
Printed Oversized T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26386988/2024/2/26/b53894ed-2330-4fb7-ba07-35f550623ee31708932851263-Roadster-Women-Tshirts-3151708932850869-1.jpg",women,"{'Fabric': 'Cotton', 'Fabric 2': 'Polyester', 'Fit': 'Oversized', 'Length': 'Longline', 'Main Trend': 'Typography or Slogan Print', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1'}"
Striped Pure Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22311506/2023/3/13/66ffc92e-2cab-42b3-bfbd-9de17181dbe51678673257221maxWomenBlackStripedHoodedPocketsT-shirt1.jpg",women,"{'Fabric': 'Pure Cotton', 'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'Multi or Variegated Stripes', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Occasion': 'Casual', 'Pattern': 'Striped'}"
Printed Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17587418/2022/4/28/df023199-193f-4fd5-8f6d-dd90471d0a921651143449880-Difference-of-Opinion-Women-Pink-Typography-Printed-Pure-Cot-1.jpg",women,"{'Fabric': 'Pure Cotton', 'Fit': 'Oversized', 'Length': 'Longline', 'Main Trend': 'Typography or Slogan Print', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Oversized T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25468986/2023/10/13/d416703f-cf49-4482-9619-9d6f4dd501871697207040563KottyWomenGreenAppliqueT-shirt1.jpg",women,"{'Fabric': 'Cotton', 'Fabric 2': 'Blended', 'Fit': 'Oversized', 'Length': 'Regular', 'Main Trend': 'Typography or Slogan Print', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1'}"
Printed Oversized T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2024/OCTOBER/4/LbuEigjj_71bb2dd95f074dfb8f987b8c9db264ae.jpg",women,"{'Fabric': 'Cotton', 'Fabric 2': 'Polyester', 'Fit': 'Oversized', 'Length': 'Longline', 'Main Trend': 'Typography or Slogan Print', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1'}"
Solid Round Neck T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/6716795/2018/6/13/72fa3c9b-3d63-47c9-8242-bfecd456b3081528890706990-appulse-Women-Black-Solid-Round-Neck-T-shirt-1341528890706803-1.jpg",women,"{'Fabric': 'Cotton', 'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'New Basics', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Occasion': 'Sports', 'Pattern': 'Solid'}"
Women Pure Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/21597788/2023/1/18/842dcc45-84fc-48d5-85e3-63629f9107981674043359566Tops1.jpg",women,"{'Fabric': 'Pure Cotton', 'Fit': 'Slim Fit', 'Length': 'Regular', 'Main Trend': 'New Basics', 'Multipack Set': 'Single', 'Neck': 'Scoop Neck', 'Occasion': 'Casual', 'Pattern': 'Solid'}"
Printed Oversized Pure Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/13930788/2021/8/6/38d6c0e3-cda3-4059-a673-2cdb0bafae181628241011946-DILLINGER-Women-Tshirts-8941628241011571-1.jpg",women,"{'Fabric': 'Pure Cotton', 'Fit': 'Oversized', 'Length': 'Longline', 'Main Trend': 'Typography or Slogan Print', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Striped V-Neck T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2024/OCTOBER/4/aPOMaAkw_cde2122db09e4048b2e27dec355c9b55.jpg",women,"{'Fabric': 'Pure Cotton', 'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'Multi or Variegated Stripes', 'Multipack Set': 'Single', 'Neck': 'V-Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Women Printed T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2024/AUGUST/28/Jsrx749q_12e91286b6e64898985104f68df8d30d.jpg",women,"{'Fabric': 'Cotton', 'Fit': 'Relaxed Fit', 'Length': 'Regular', 'Main Trend': 'Graphic Print Others', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Pack Of 2 Striped T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2024/SEPTEMBER/16/DCw0GWhr_77a8495b040f40cc9c4becd8ddeafdf4.jpg",women,"{'Fabric': 'Cotton', 'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'Multi or Variegated Stripes', 'Multipack Set': '2', 'Neck': 'Round Neck', 'Number of Items': '2', 'Occasion': 'Casual'}"
Printed Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23369998/2024/3/7/869d13b0-2059-444b-9aad-1054019148031709804535981BewakoofTypographyPrintOversizedT-shirt1.jpg",women,"{'Fabric': 'Cotton', 'Fit': 'Oversized', 'Length': 'Regular', 'Main Trend': 'Typography or Slogan Print', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Pack Of 2 Printed T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2024/SEPTEMBER/16/VRgyJ5L9_0608908ba3b448489e3382ab3bf9fba5.jpg",women,"{'Fabric': 'Cotton', 'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'Typography or Slogan Print', 'Multipack Set': '2', 'Neck': 'Round Neck', 'Number of Items': '2', 'Occasion': 'Casual'}"
Printed Round Neck Pure Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/13321076/2021/2/10/d082e20d-d2f0-42ee-bc78-f8533a79203a1612943900563-Mast--Harbour-Women-Tshirts-7671612943899422-5.jpg",women,"{'Fabric': 'Pure Cotton', 'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'New Basics', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Occasion': 'Casual', 'Pattern': 'Printed'}"
Polo Collar Regular T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25097720/2023/9/21/4183c085-8e98-47f8-acde-7a4df490cf231695281446375AthenaGreenTie-UpNeckTop1.jpg",women,"{'Fabric': 'Polyester', 'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'New Basics', 'Multipack Set': 'Single', 'Neck': 'Polo Collar', 'Number of Items': '1', 'Occasion': 'Casual'}"
Women Relaxed Fit T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2024/AUGUST/24/i5NwineQ_34407093ad734695b01b2e3741f19a22.jpg",women,"{'Fabric': 'Cotton', 'Fit': 'Relaxed Fit', 'Length': 'Regular', 'Main Trend': 'Graphic Print Others', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Women T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2024/OCTOBER/2/YsnF7lSr_1cf097ceecdb4e13b428cfa8d86aed8b.jpg",women,"{'Care for me': 'Follow the garment wash care label\nCan be tumble dried in a cool setting if machine washed\nPrevent static build-up by drying while damp\nUse low heat to iron', 'Fabric': 'Polyester', 'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'Graphic Print Others', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1'}"
Graphic Printed Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25916538/2023/11/17/1a666da5-df15-4b6d-b4a4-5ce694a8c7e31700210133528BewakoofWomenPinkPrintedT-shirt1.jpg",women,"{'Character': 'Garfield', 'Fabric': 'Cotton', 'Fit': 'Oversized', 'Length': 'Regular', 'Main Trend': 'Graphic Print Others', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1'}"
Oversized Printed T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23272680/2023/6/12/786ab46f-5d59-4b75-8a5d-39d8e84181631686569080589-DILLINGER-Women-Tshirts-9351686569080301-1.jpg",women,"{'Fabric': 'Cotton', 'Fit': 'Oversized', 'Length': 'Longline', 'Main Trend': 'Graphic Print Others', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Women Solid V-Neck Pure Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/9740077/2023/9/5/fccf79f7-8147-4d6f-b7d8-3a514c597a0f1693911453052RoadsterWomenBurgundySolidV-NeckPureCottonT-shirt1.jpg",women,"{'Fabric': 'Pure Cotton', 'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'New Basics', 'Multipack Set': 'Single', 'Neck': 'V-Neck', 'Occasion': 'Casual', 'Pattern': 'Solid'}"
Striped Oversized T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24110500/2023/12/20/28b0af2d-d3be-4156-a623-41dd81b7adad1703057073480-Roadster-Women-Black--Green-Striped-T-shirt-4151703057073081-1.jpg",women,"{'Fabric': 'Cotton', 'Fabric 2': 'Polyester', 'Fit': 'Oversized', 'Length': 'Regular', 'Main Trend': 'Multi or Variegated Stripes', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1'}"
Printed Round Neck Pure Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/10964418/2019/12/23/4e258f4f-ee8e-4499-9423-a663d4ff1c3b1577093387328-Roadster-Women-Tshirts-3801577093385447-1.jpg",women,"{'Fabric': 'Pure Cotton', 'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'Typography or Slogan Print', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Occasion': 'Casual', 'Pattern': 'Printed'}"
Unisex Oversized T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24943130/2023/9/25/669d6f12-2250-417a-9645-adb6e931d2361695629010096-Crazymonk-Unisex-Black-Printed-T-shirt-6461695629009797-1.jpg",women,"{'Fabric': 'Cotton', 'Fit': 'Oversized', 'Length': 'Regular', 'Main Trend': 'Graphic Print Others', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Fitted T-Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/30145415/2024/7/7/67ba9ab6-3643-4de8-a111-cfb7f448c4361720290612467FittedT-shirt1.jpg",women,"{'Fabric': 'Cotton', 'Fabric 2': 'Elastane', 'Fit': 'Slim Fit', 'Length': 'Regular', 'Main Trend': 'Typography or Slogan Print', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1'}"
Women Oversized T-Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/18432352/2023/1/23/558e2f49-e80b-4531-a02e-8006308ae61e1674457497606TheSouledStoreWomenBlackDrop-ShoulderSleevesOversizedT-shirt1.jpg",women,"{'Fabric': 'Cotton', 'Fabric 2': 'Polyester', 'Fit': 'Oversized', 'Length': 'Regular', 'Main Trend': 'New Basics', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1'}"
Moisture Wicking Yoga T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/21964674/2023/9/26/d20e9f23-3399-48af-971c-3c83b53ab6961695710232990BlissclubTheLastTeeV-NeckMoistureWickingYogaT-shirt5.jpg",women,"{'Fabric': 'Cotton', 'Fabric 2': 'Elastane', 'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'New Basics', 'Multipack Set': 'Single', 'Neck': 'V-Neck', 'Occasion': 'Sports'}"
Colourblocked V-Neck Pure Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/11296042/2020/7/30/5c0ba9ac-d19c-4ba7-bc43-cb9aaf0dfc7b1596109948139-Roadster-Women-Tshirts-5101596109946371-1.jpg",women,"{'Fabric': 'Pure Cotton', 'Fit': 'Regular Fit', 'Length': 'Crop', 'Main Trend': 'Colourblocked', 'Multipack Set': 'Single', 'Neck': 'V-Neck', 'Occasion': 'Casual', 'Pattern': 'Colourblocked'}"
Cotton Oversized T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25856946/2023/11/11/8c94e0ee-5456-4024-8a66-8cb5a36ddea31699648788540TheSouledStoreWomenPinkTypographyPrintedAppliqueT-shirt1.jpg",women,"{'Fabric': 'Cotton', 'Fit': 'Oversized', 'Length': 'Regular', 'Main Trend': 'Graphic Print Others', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Printed Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/29059170/2024/4/18/4a8a2f78-a3de-4063-95e6-f377a77dff751713456514062TheSouledStoreWomenPrintedT-shirt1.jpg",women,"{'Fabric': 'Cotton', 'Fit': 'Oversized', 'Length': 'Regular', 'Main Trend': 'Graphic Print Others', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Women Printed Cotton Pure Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15338610/2021/10/19/417cfca5-58e3-48ee-aa6a-d6013eb495321634646042615-DILLINGER-Women-Tshirts-7981634646042269-1.jpg",women,"{'Fabric': 'Pure Cotton', 'Fit': 'Oversized', 'Length': 'Longline', 'Main Trend': 'Graphic Print Others', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Women Typography Printed Boxy T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/30745759/2024/9/18/9b56a40a-4966-488b-a52a-86f93f8e269d1726623310802-DressBerry-Women-Typography-Printed-Drop-Shoulder-Sleeves-Bo-1.jpg",women,"{'Fabric': 'Cotton', 'Fabric 2': 'Polyester', 'Fit': 'Boxy', 'Length': 'Regular', 'Main Trend': 'New Basics', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1'}"
Printed Oversized Crop T-Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24297226/2023/8/1/ac012567-6671-4707-848a-b91e4acd15de1690910318643GlobusWomenGreenPrintedPureCottonAppliqueBoxyT-shirt1.jpg",women,"{'Fabric': 'Pure Cotton', 'Fit': 'Oversized', 'Length': 'Crop', 'Main Trend': 'Graphic Print Others', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Women Solid T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2024/SEPTEMBER/26/kiBq95O0_d9746aa3ef994798976cf17455949656.jpg",women,"{'Fabric': 'Polyester', 'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'New Basics', 'Multipack Set': 'Single', 'Neck': 'V-Neck', 'Number of Items': '1', 'Occasion': 'Sports'}"
Printed Round Neck T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/8353077/2019/3/11/c03fe2cf-4ae4-48bc-afa8-46e24475c2c81552307929169-Roadster-Women-Black-Printed-Top-3541552307927845-1.jpg",women,"{'Fabric': 'Cotton', 'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'Geometric Print', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Occasion': 'Casual', 'Pattern': 'Printed'}"
Women Printed Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/29947806/2024/6/12/762a26e0-85cd-43ce-9522-4462e6fe75f11718176952195TheSouledStoreWomenPrintedV-NeckAppliqueT-shirt1.jpg",women,"{'Fabric': 'Cotton', 'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'Graphic Print Others', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Women Oversized T-Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/21082328/2024/9/19/d0530d52-84a9-4dfc-be34-4adfd0074d641726738397639-The-Souled-Store-Women-Cotton-Typography-Printed-Oversized-O-1.jpg",women,"{'Fabric': 'Cotton', 'Fit': 'Oversized', 'Length': 'Regular', 'Main Trend': 'Graphic Print Others', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Cotton Oversized T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27087542/2024/3/11/79b4e40b-b16d-4bec-9daf-9f48d420c17d1710142626373-Roadster-Women-Tshirts-8851710142625864-1.jpg",women,"{'Fabric': 'Pure Cotton', 'Fit': 'Oversized', 'Length': 'Longline', 'Main Trend': 'Graphic Print Others', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
V-Neck Casual T-Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28011208/2024/3/4/53fd7b41-d784-413f-9fe1-4a602aeb1fcf1709528359332COLORCAPITALTop1.jpg",women,"{'Fabric': 'Viscose Rayon', 'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'New Basics', 'Multipack Set': 'Single', 'Neck': 'V-Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Women Pack Of 2 Solid T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2024/SEPTEMBER/16/KjlQmufo_03b22e975c604c58b2c274c8bd2555de.jpg",women,"{'Fabric': 'Cotton', 'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'New Basics', 'Multipack Set': '2', 'Neck': 'Round Neck', 'Number of Items': '2', 'Occasion': 'Casual'}"
Ribbed Sweetheart-Neck T-Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/30064859/2024/6/29/d57b4a8a-a21e-4a29-9611-1c5aeca028b21719631826038HMRibbedSweetheart-NeckT-Shirt1.jpg",women,"{'Fabric': 'Cotton', 'Fabric 2': 'Elastane', 'Fit': 'Regular Fit', 'Length': 'Crop', 'Main Trend': 'New Basics', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1'}"
Women Cotton Oversized T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/29946580/2024/6/12/8ef5d8fa-f112-4681-9135-51272c6028111718174819224TheSouledStoreWomenV-NeckPocketsT-shirt1.jpg",women,"{'Fabric': 'Cotton', 'Fit': 'Oversized', 'Length': 'Regular', 'Main Trend': 'New Basics', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Printed Slim Fit Crop T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24405308/2023/12/8/3146f2c1-e80b-4a3f-bcb1-a668555fa3fa1702032623772-Roadster-Women-Tshirts-191702032623499-1.jpg",women,"{'Fabric': 'Cotton', 'Fabric 2': 'Polyester', 'Fit': 'Slim Fit', 'Length': 'Crop', 'Main Trend': 'Typography or Slogan Print', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1'}"
Moisture Wicking T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25105070/2023/10/4/2c8d58e6-23cc-4353-8bc2-76f3d4c7e1f11696414789361BlissclubWomenMaroonMoistureWickingAppliqueT-shirt6.jpg",women,"{'Fabric': 'Cotton', 'Fabric 2': 'Elastane', 'Fit': 'Oversized', 'Length': 'Regular', 'Main Trend': 'New Basics', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1'}"
Women Printed Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/29947807/2024/6/12/a1f335fb-aece-4349-b9ed-02e7fcf2624a1718177201868TheSouledStoreWomenTypographyPrintedAppliqueT-shirt1.jpg",women,"{'Fabric': 'Cotton', 'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'Typography or Slogan Print', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Women Fitted Tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/30154454/2024/7/9/90941655-94af-45a5-90c8-998546fe26bd1720490110956HMWomenFittedTshirts1.jpg",women,"{'Fabric': 'Polyester', 'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'New Basics', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Women Varsity Printed Boxy T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/30745750/2024/9/18/e732efd0-c74d-4668-9696-36dc8c7c0cba1726623352108-DressBerry-Women-Varsity-Printed-Drop-Shoulder-Sleeves-Boxy--1.jpg",women,"{'Fabric': 'Cotton', 'Fabric 2': 'Polyester', 'Fit': 'Boxy', 'Length': 'Regular', 'Main Trend': 'New Basics', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1'}"
The Jetsons Printed T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25660658/2023/10/27/315bc53e-3d84-4f9f-bf4b-4b0c4d5792e11698414908376TheSouledStoreWomenPinkPrintedDrop-ShoulderSleevesT-shirt1.jpg",women,"{'Fabric': 'Cotton', 'Fit': 'Oversized', 'Length': 'Regular', 'Main Trend': 'Graphic Print Others', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Round Neck T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22510804/2024/5/2/bba6d28a-6095-46b3-a3b9-28b9bb71870e1714649219313MarksSpencerRoundNeckShortSleevesT-shirt1.jpg",women,"{'Fabric': 'Polyester', 'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'New Basics', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Occasion': 'Casual', 'Pattern': 'Solid'}"
Women Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/20756986/2024/1/29/aa581f82-f48b-42e2-9a2e-0efd101b95591706528489992JockeyWomenPinkCottonT-shirt1.jpg",women,"{'Fabric': 'Cotton', 'Fit': 'Relaxed Fit', 'Length': 'Regular', 'Main Trend': 'New Basics', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
