Description,Image,Gender,Specifications
Cropped T-Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27305312/2024/2/2/cdfcb2c9-c1b5-4f23-9414-f392ae3b12771706895931855HMCroppedT-Shirt1.jpg",women,"{'Fabric': 'Cotton', 'Fabric 2': 'Elastane', 'Fit': 'Regular Fit', 'Length': 'Crop', 'Main Trend': 'Knits', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1'}"
Cotton Oversized T-Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17587470/2022/4/28/51112378-6f5f-43f0-a257-16f3fb5be4341651143779451-Difference-of-Opinion-Women-Orange-Typography-Printed-Pure-C-1.jpg",women,"{'Fabric': 'Pure Cotton', 'Fit': 'Oversized', 'Length': 'Longline', 'Main Trend': 'Typography or Slogan Print', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Time Travlr Round Neck Pure Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2519717/2023/9/5/2bdc2c06-9930-4439-8a16-90dee83c06021693911354166RoadsterTimeTravlrWomenPinkPrintedRoundNeckPureCottonT-shirt1.jpg",women,"{'Fabric': 'Pure Cotton', 'Fit': 'Relaxed Fit', 'Length': 'Regular', 'Main Trend': 'Typography or Slogan Print', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Occasion': 'Casual', 'Pattern': 'Printed'}"
Women Printed Oversized Tshirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15598130/2021/10/11/00b95453-af40-4cfe-a8fb-51960607777e1633926686080-DILLINGER-Women-Tshirts-7421633926685543-1.jpg",women,"{'Fabric': 'Pure Cotton', 'Fit': 'Oversized', 'Length': 'Longline', 'Main Trend': 'Graphic Print Others', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Printed Oversized T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2024/OCTOBER/4/TccL2ch8_49358d673aae485a9259c0d0f68be62d.jpg",women,"{'Fabric': 'Cotton', 'Fabric 2': 'Polyester', 'Fit': 'Oversized', 'Length': 'Longline', 'Main Trend': 'Typography or Slogan Print', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1'}"
Printed Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24357700/2023/8/5/07a5b0c0-58d1-4939-aeb5-5b8bd3cf39961691231422609CrazymonkUnisexLavenderPrintedPocketsT-shirt1.jpg",women,"{'Fabric': 'Cotton', 'Fit': 'Oversized', 'Length': 'Regular', 'Main Trend': 'Graphic Print Others', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Printed Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/29059170/2024/4/18/4a8a2f78-a3de-4063-95e6-f377a77dff751713456514062TheSouledStoreWomenPrintedT-shirt1.jpg",women,"{'Fabric': 'Cotton', 'Fit': 'Oversized', 'Length': 'Regular', 'Main Trend': 'Graphic Print Others', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Pure Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2439138/2023/10/17/c11713cb-b505-4953-822e-99bf8a9385621697526379811-Roadster-Women-Black-Pure-Cotton-T-shirt-1691697526379723-7.jpg",women,"{'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'New Basics', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Occasion': 'Casual', 'Pattern': 'Solid', 'Print or Pattern Type': 'Solid'}"
Women Pure Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/21597788/2023/1/18/842dcc45-84fc-48d5-85e3-63629f9107981674043359566Tops1.jpg",women,"{'Fabric': 'Pure Cotton', 'Fit': 'Slim Fit', 'Length': 'Regular', 'Main Trend': 'New Basics', 'Multipack Set': 'Single', 'Neck': 'Scoop Neck', 'Occasion': 'Casual', 'Pattern': 'Solid'}"
Ribbed Sweetheart-Neck T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2024/SEPTEMBER/10/Y89QZstF_9d002af3995e4bed93a7313bdbb1153c.jpg",women,"{'Fabric': 'Cotton', 'Fabric 2': 'Elastane', 'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'New Basics', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1'}"
