description,image_url,gender,item_type,specifications
Cotton Regular Fit T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28204808/2024/3/12/02f48e07-835b-4bdf-9f48-aa1bcb25a1ed1710225898577RegularFitT-shirt1.jpg",men,t-shirt,"{'fabric': 'Pure Cotton', 'fit': 'Regular Fit', 'length': 'Regular', 'main_trend': 'New Basics', 'neck': 'Round Neck', 'occasion': 'Casual'}"
Oversized Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24014326/2023/7/14/c3bb4dd9-b557-4602-a885-f77b445645bc1689274870298BULLMERMenBlackTypographyPrintedPocketsT-shirt1.jpg",men,t-shirt,"{'fabric': 'Cotton', 'fit': 'Oversized', 'length': 'Regular', 'main_trend': 'Graphic Print Others', 'neck': 'Round Neck', 'occasion': 'Casual'}"
Printed Training T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/30035964/2024/10/4/99b6e964-b7b1-474c-b26d-c563bb3ee5271728024631419-HRX-by-Hrithik-Roshan-Men-Tshirts-661728024630788-1.jpg",men,t-shirt,"{'fabric': 'Polyester', 'fit': 'Regular Fit', 'length': 'Regular', 'main_trend': 'Placement Print', 'neck': 'Round Neck'}"
Self-Design Henley T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/21423002/2023/2/3/9d972f04-5552-45fc-9c69-912eb30bb2091675419863716-Roadster-Men-Tshirts-2691675419863068-1.jpg",men,t-shirt,"{'fabric': 'Cotton', 'fit': 'Regular Fit', 'length': 'Regular', 'main_trend': 'New Basics', 'neck': 'Henley Neck'}"
Cotton Oversized T-Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28699080/2024/5/21/340ae8e4-6933-4912-9056-564329d6b4911716266086798-NOBERO-Graphic-Printed-Drop-Shoulder-Sleeves-Cotton-Oversize-6.jpg",men,t-shirt,"{'fabric': 'Cotton', 'fit': 'Oversized', 'length': 'Regular', 'main_trend': 'Graphic Print Others', 'neck': 'Round Neck', 'occasion': 'Casual'}"
Cotton Oversized T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25744596/2023/11/3/bc8d5a97-38ef-4ee1-b14b-5b479836a0c01699005447177ElibolzMenBlackPrintedV-NeckPocketsT-shirt1.jpg",men,t-shirt,"{'fabric': 'Cotton', 'fit': 'Oversized', 'length': 'Regular', 'main_trend': 'Graphic Print Others', 'neck': 'Round Neck', 'occasion': 'Casual'}"
Polo Collar Lounge Tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28138202/2024/8/14/7c3c7097-f05a-4fa4-a1fb-655a0d252b691723609081476-Lux-Cozi-Polo-Collar-Lounge-Tshirts-8561723609080865-2.jpg",men,t-shirt,"{'fabric': 'Cotton Blend', 'neck': 'Polo Collar', 'pattern': 'Solid', 'sleeve_length': 'Short Sleeves', 'type': 'Regular'}"
Printed Pure Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/1700871/2020/1/22/f932ae44-0fb8-4b92-b7bc-f1756253294b1579692118186-HRX-by-Hrithik-Roshan-Men-Teal-Blue-Printed-T-shirt-90515796-1.jpg",men,t-shirt,"{'fabric': 'Pure Cotton', 'fit': 'Regular Fit', 'length': 'Regular', 'main_trend': 'Geometric Print', 'neck': 'Round Neck', 'occasion': 'Casual', 'pattern': 'Printed'}"
Men Polo Collar T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22086498/2024/7/18/f974248a-9388-45d6-ab89-f74648eb8f551721294639766-HRX-by-Hrithik-Roshan-Men-Lifestyle-Polo-Collar-T-shirt-4481-1.jpg",men,t-shirt,"{'fabric': 'Cotton', 'fit': 'Regular Fit', 'length': 'Regular', 'main_trend': 'Knits', 'neck': 'Polo Collar'}"
Men Polo Collar T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23053334/2023/8/16/0d864f81-f80f-483f-9883-f646c9714a9d1692161704547-The-Indian-Garage-Co-Cotton-Polyester-Regular-Fit-Placement--1.jpg",men,t-shirt,"{'fabric': 'Cotton', 'fit': 'Regular Fit', 'length': 'Regular', 'main_trend': 'New Basics', 'neck': 'Polo Collar'}"
Printed Athleisure T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/9168387/2019/11/14/b85eb8d1-4cb3-4110-846a-0fb07b11c06f1573723339070-US-Polo-Assn-Men-Lounge-Tshirts-5411573723336700-1.jpg",men,t-shirt,"{'fabric': 'Cotton', 'neck': 'Round Neck', 'pattern': 'Printed', 'sleeve_length': 'Short Sleeves', 'type': 'Regular'}"
Polo Collar Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27782424/2024/2/22/39f20946-89d1-4b06-b882-e38879590ebc1708606532482maxMenPoloCollarPocketsT-shirt1.jpg",men,t-shirt,"{'fabric': 'Cotton', 'fit': 'Regular Fit', 'length': 'Regular', 'main_trend': 'New Basics', 'neck': 'Polo Collar', 'occasion': 'Casual'}"
