description,image_url,gender,item_type,specifications
Men Relaxed Fit Solid Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/30232674/2024/7/18/318b57a7-68a3-4236-8cb5-5f987361cbdc1721278162248HIGHLANDERMenOpaqueCasualShirt1.jpg",men,shirts,"{'sleeve_length': 'Long Sleeves', 'fit': 'Relaxed Fit', 'print_or_pattern_type': 'Solid', 'occasion': 'Casual', 'length': 'Regular'}"
Kalamkari Block Printed Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/12600528/2020/11/12/17c50458-73c7-4b08-a40f-fb55531128ce1605161581226-Taavi-Men-Shirts-2801605161579286-1.jpg",men,shirts,"{'sleeve_length': 'Long Sleeves', 'fit': 'Regular Fit', 'print_or_pattern_type': 'Floral', 'occasion': 'Casual', 'length': 'Regular'}"
Slim Fit Casual Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/20997898/2022/12/6/84f086ee-7bc9-40e8-a124-288d6390f6fc1670325828715-HERENOW-Men-Shirts-4561670325828207-1.jpg",men,shirts,"{'sleeve_length': 'Short Sleeves', 'fit': 'Slim Fit', 'print_or_pattern_type': 'Abstract', 'occasion': 'Casual', 'length': 'Regular'}"
Opaque Casual Shacket,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/29313924/2024/5/22/224cbdfa-219b-478b-abdf-4628651913b41716357436757-Mast--Harbour-Men-Shirts-2741716357436389-1.jpg",men,shirts,"{'sleeve_length': 'Long Sleeves', 'fit': 'Relaxed Fit', 'print_or_pattern_type': 'Solid', 'occasion': 'Casual', 'length': 'Regular'}"
Men Pure Cotton Casual Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/16312238/2022/6/13/901fbb7b-f967-4e3e-afed-0d53aeb5faac1655111673821-Harvard-Men-Shirts-1471655111673329-1.jpg",men,shirts,"{'sleeve_length': 'Long Sleeves', 'fit': 'Regular Fit', 'print_or_pattern_type': 'Solid', 'occasion': 'Casual', 'length': 'Regular'}"
Men Regular Fit Sustainable Casual Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/4425878/2018/5/11/935ce5fa-3571-4d63-8a41-32507c34fb771526040411112-HERENOW-Men-White-Regular-Fit-Solid-Casual-Shirt-261526040410974-1.jpg",men,shirts,"{'sleeve_length': 'Long Sleeves', 'fit': 'Regular Fit', 'print_or_pattern_type': 'Solid', 'occasion': 'Casual', 'length': 'Regular'}"
Men Regular Check Casual Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2284523/2018/2/15/11518684805969-Roadster-Men-Navy-Blue--Green-Regular-Fit-Checked-Casual-Shirt-4471518684805162-1.jpg",men,shirts,"{'sleeve_length': 'Long Sleeves', 'fit': 'Regular Fit', 'print_or_pattern_type': 'Tartan Checks', 'occasion': 'Casual', 'length': 'Regular'}"
Men Pure Cotton Casual Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/21990788/2023/3/1/5ba81bef-8d1e-40e0-9f88-219593b0ec491677665266871-Roadster-Men-Shirts-7011677665266304-1.jpg",men,shirts,"{'sleeve_length': 'Long Sleeves', 'fit': 'Regular Fit', 'print_or_pattern_type': 'Other Checks', 'occasion': 'Casual', 'length': 'Regular'}"
Slim Fit Casual Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/19140998/2022/7/16/4504833d-9bac-4125-a56a-82c91590492a1657974760357Shirts1.jpg",men,shirts,"{'sleeve_length': 'Long Sleeves', 'fit': 'Slim Fit', 'print_or_pattern_type': 'Tartan Checks', 'occasion': 'Casual', 'length': 'Regular'}"
Slim Fit Cotton Formal Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25228940/2023/9/29/b0ba36bc-a81f-4201-ba50-37885586eabd1695953539023INVICTUSMenBlackOriginalSlimFitOpaqueFormalShirt1.jpg",men,shirts,"{'sleeve_length': 'Long Sleeves', 'fit': 'Slim Fit', 'print_or_pattern_type': 'Solid', 'occasion': 'Formal', 'length': 'Regular'}"
Men Striped Casual Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2024/SEPTEMBER/9/XXWZsPRU_d2ccbb20776542c98209502d83e0c450.jpg",men,shirts,"{'sleeve_length': 'Long Sleeves', 'fit': 'Regular Fit', 'print_or_pattern_type': 'Vertical Stripes', 'occasion': 'Casual', 'length': 'Regular'}"
Slim Fit Casual Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27947316/2024/2/29/9f21caa0-e927-4866-8416-982c1ace93111709201120963FlyingMachineMenSlimFitOpaqueCasualShirt1.jpg",men,shirts,"{'sleeve_length': 'Long Sleeves', 'fit': 'Slim Fit', 'print_or_pattern_type': 'Solid', 'occasion': 'Casual', 'length': 'Regular'}"
Slim Fit Casual Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/productimage/2021/3/22/02388bed-8ce5-437d-bca6-b88576e052f41616423902628-6.jpg",men,shirts,"{'sleeve_length': 'Short Sleeves', 'fit': 'Slim Fit', 'print_or_pattern_type': 'Vertical Stripes', 'occasion': 'Casual', 'length': 'Regular'}"
Men Slim Fit Casual Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/19424050/2022/8/8/1e6a45b2-2206-45cf-a62c-15515d98887f1659937584818HERENOWMenBlueSlimFitTartanChecksCheckedCasualShirt5.jpg",men,shirts,"{'sleeve_length': 'Long Sleeves', 'fit': 'Slim Fit', 'print_or_pattern_type': 'Tartan Checks', 'occasion': 'Casual', 'length': 'Regular'}"
Casual Cotton Linen Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23051222/2024/6/12/b456149e-f531-41d6-8457-591819c555af1718182860344MuftiSlimFitFloralPrintedCasualCottonLinenShirt1.jpg",men,shirts,"{'sleeve_length': 'Long Sleeves', 'fit': 'Slim Fit', 'print_or_pattern_type': 'Floral', 'occasion': 'Casual', 'length': 'Regular'}"
Pure Cotton Formal Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/29975926/2024/7/2/c8b78abb-5298-4073-afc0-2e2be5d781ff1719924059595-Arrow-Men-Shirts-3561719924059251-1.jpg",men,shirts,"{'sleeve_length': 'Long Sleeves', 'fit': 'Slim Fit', 'print_or_pattern_type': 'Textured', 'occasion': 'Formal', 'length': 'Regular'}"
Slim Fit Denim Casual Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22447788/2023/3/21/41d70724-6ebe-4a8e-9747-a161b6efde3e1679384281668KuonsAvenueMenBlackSmartSlimFitOpaqueCasualShirt1.jpg",men,shirts,"{'sleeve_length': 'Short Sleeves', 'fit': 'Slim Fit', 'print_or_pattern_type': 'Solid', 'occasion': 'Casual', 'length': 'Regular'}"
Cotton Printed Casual Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/29149764/2024/7/31/5e672e86-b645-4f82-88a3-d1220bdc818c1722405733084-Roadster-Men-Shirts-6261722405732505-1.jpg",men,shirts,"{'sleeve_length': 'Long Sleeves', 'fit': 'Regular Fit', 'print_or_pattern_type': 'Geometric', 'occasion': 'Casual', 'length': 'Regular'}"
Slim Fit Casual Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28684026/2024/4/4/1be2958e-3eeb-4fab-b952-41146e82e9f11712237822280HIGHLANDERMenSlimFitOpaqueCasualShirt1.jpg",men,shirts,"{'sleeve_length': 'Long Sleeves', 'fit': 'Slim Fit', 'print_or_pattern_type': 'Solid', 'occasion': 'Casual', 'length': 'Regular'}"
Opaque Casual Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/30286792/2024/7/22/481021a8-1045-41e5-8279-2d555bff82c31721619175441PowerlookMenOpaqueCheckedCasualShirt1.jpg",men,shirts,"{'sleeve_length': 'Long Sleeves', 'fit': 'Oversized', 'print_or_pattern_type': 'Other Checks', 'occasion': 'Casual', 'length': 'Regular'}"
Self-Design Striped Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28692892/2024/4/5/68a28314-4477-4295-9478-3e309046266d1712256079471CampusSutraMenClassicOpaquePrintedCasualShirt1.jpg",men,shirts,"{'sleeve_length': 'Long Sleeves', 'fit': 'Regular Fit', 'print_or_pattern_type': 'Vertical Stripes', 'occasion': 'Casual', 'length': 'Regular'}"
Opaque Casual Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24376948/2023/9/22/5ff229b4-77c9-435c-b414-4e944fa8a10e1695381210932-Mast--Harbour-Men-Shirts-6151695381210455-1.jpg",men,shirts,"{'sleeve_length': 'Long Sleeves', 'fit': 'Regular Fit', 'print_or_pattern_type': 'Solid', 'occasion': 'Casual', 'length': 'Regular'}"
Slim Fit Cotton Casual Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26291468/2023/12/7/b0f9cbb2-d23c-450a-a111-21418fd307101701927487059HERENOWMenBlackSlimFitStripedCasualShirt6.jpg",men,shirts,"{'sleeve_length': 'Long Sleeves', 'fit': 'Slim Fit', 'print_or_pattern_type': 'Solid', 'occasion': 'Casual', 'length': 'Regular'}"
Easy Care Men Sustainable Formal Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/13340302/2021/12/8/8143b36e-d12e-4142-a134-25aa435511db1638962389895-INVICTUS-Men-Easy-Care-Charcoal-Grey-Self-Design-Smart-Forma-1.jpg",men,shirts,"{'sleeve_length': 'Long Sleeves', 'fit': 'Slim Fit', 'print_or_pattern_type': 'Textured', 'occasion': 'Casual', 'length': 'Regular'}"
Slim Fit Printed Casual Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27263060/2024/1/31/0b132093-0896-45f0-92b1-e30f8ac7f7841706716092167HERENOWMenSlimFitOpaquePrintedCasualShirt6.jpg",men,shirts,"{'sleeve_length': 'Long Sleeves', 'fit': 'Slim Fit', 'print_or_pattern_type': 'Ethnic Motifs', 'occasion': 'Casual', 'length': 'Regular'}"
Men Blue Striped Sustainable CasualShirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/13663454/2021/7/7/dbcf74df-427a-40b3-981e-3bff39ec196b1625659324489-Roadster-Men-Shirts-5591625659323906-1.jpg",men,shirts,"{'sleeve_length': 'Long Sleeves', 'fit': 'Regular Fit', 'print_or_pattern_type': 'Horizontal Stripes', 'occasion': 'Casual', 'length': 'Regular'}"
Opaque Casual Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23766112/2023/9/11/922a373b-6812-480b-a822-1e94a5d18cad1694436758740DENNISONMenSmartFloralPrintedCasualShirt1.jpg",men,shirts,"{'sleeve_length': 'Short Sleeves', 'fit': 'Regular Fit', 'print_or_pattern_type': 'Floral', 'occasion': 'Casual', 'length': 'Regular'}"
Slim Fit Checked Flannel Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/12853658/2020/11/12/ac54b2ef-3897-495f-bcd3-8885aaa1eb561605161332808TBH-TALLY-BK1.jpg",men,shirts,"{'sleeve_length': 'Long Sleeves', 'fit': 'Slim Fit', 'print_or_pattern_type': 'Other Checks', 'occasion': 'Casual', 'length': 'Regular'}"
Cuban Collar Formal Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27058910/2024/1/26/8007bf3f-7341-4375-8d6e-a6880201acd51706212056202IndianNeedleMenClassicOpaqueFormalShirt1.jpg",men,shirts,"{'sleeve_length': 'Long Sleeves', 'fit': 'Regular Fit', 'print_or_pattern_type': 'Solid', 'occasion': 'Formal', 'length': 'Regular'}"
Pure Cotton Casual Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/18199958/2022/5/28/c2da2a49-5018-4227-9bcb-575386669f591653734630383-Mens-Casual-Solid-Shirt-6911653734629854-1.jpg",men,shirts,"{'sleeve_length': 'Long Sleeves', 'fit': 'Regular Fit', 'print_or_pattern_type': 'Solid', 'occasion': 'Casual', 'length': 'Regular'}"
Men Slim Fit Casual Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/6552792/2024/7/17/8b7289ef-894b-4009-8221-0af46c2d24ab1721201831157-HIGHLANDER-Men-White-Slim-Fit-Casual-Shirt-7361721201831054-7.jpg",men,shirts,"{'sleeve_length': 'Long Sleeves', 'fit': 'Slim Fit', 'print_or_pattern_type': 'Solid', 'occasion': 'Casual', 'length': 'Regular'}"
Men Solid Party Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2024/SEPTEMBER/4/qfPcClBI_898571b9090a4ebcb214f6f16370c4e9.jpg",men,shirts,"{'sleeve_length': 'Long Sleeves', 'fit': 'Slim Fit', 'print_or_pattern_type': 'Solid', 'occasion': 'Party', 'length': 'Regular'}"
Pure Cotton Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25542450/2023/11/9/aab00744-6557-48eb-b35e-966536652b241699509666971-Roadster-Mens-Brown-Oversize-Shirt-631699509666574-1.jpg",men,shirts,"{'sleeve_length': 'Long Sleeves', 'fit': 'Oversized', 'print_or_pattern_type': 'Solid', 'occasion': 'Casual', 'length': 'Regular'}"
Slim Fit Opaque Casual Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28086686/2024/3/7/c0f01890-b964-40e0-8dff-4eb7c26ce0931709796675218HIGHLANDERMenSlimFitGinghamChecksOpaqueCheckedCasualShirt1.jpg",men,shirts,"{'sleeve_length': 'Long Sleeves', 'fit': 'Slim Fit', 'print_or_pattern_type': 'Gingham Checks', 'occasion': 'Casual', 'length': 'Regular'}"
Pure Cotton Casual Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28117568/2024/7/11/b016a1ce-6175-4d09-bcf5-d730f71488471720678453385-Ducati-Men-Shirts-7821720678452727-1.jpg",men,shirts,"{'sleeve_length': 'Long Sleeves', 'fit': 'Regular Fit', 'print_or_pattern_type': 'Horizontal Stripes', 'occasion': 'Casual', 'length': 'Regular'}"
Men Solid Casual Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2024/SEPTEMBER/28/DytilZvo_8d0847bbf4af49d0b84a959075d4485f.jpg",men,shirts,"{'sleeve_length': 'Long Sleeves', 'fit': 'Regular Fit', 'print_or_pattern_type': 'Solid', 'occasion': 'Casual', 'length': 'Regular'}"
Pure Cotton Formal Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25989650/2024/5/14/0796c17f-2054-4570-afd6-9e6e4b0e9e561715677064985-Arrow-Men-Shirts-2341715677064565-1.jpg",men,shirts,"{'sleeve_length': 'Long Sleeves', 'fit': 'Slim Fit', 'print_or_pattern_type': 'Solid', 'occasion': 'Formal', 'length': 'Regular'}"
Self Design Slim Sustainable Formal Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/10887578/2020/7/22/71cd6b48-8c57-48a2-b853-328229a9d0071595418499780-INVICTUS-Men-Navy-Blue--Red-Slim-Fit-Self-Design-Formal-Shir-1.jpg",men,shirts,"{'sleeve_length': 'Long Sleeves', 'fit': 'Slim Fit', 'print_or_pattern_type': 'Geometric', 'occasion': 'Formal', 'length': 'Regular'}"
Pure Cotton Slim Formal Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24841864/2023/10/10/e697804e-b586-4971-8084-304b721316491696939948187-Raymond-Men-Shirts-511696939947830-1.jpg",men,shirts,"{'sleeve_length': 'Long Sleeves', 'fit': 'Slim Fit', 'print_or_pattern_type': 'Textured', 'occasion': 'Formal', 'length': 'Regular'}"
Classic Checked Cotton Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25040958/2023/9/30/266bf8d2-082f-47af-9949-257aa5423ea61696013273618CampusSutraMenBlueClassicOpaqueCheckedCasualShirt1.jpg",men,shirts,"{'sleeve_length': 'Long Sleeves', 'fit': 'Regular Fit', 'print_or_pattern_type': 'Other Checks', 'occasion': 'Casual', 'length': 'Regular'}"
Pure Cotton Bagh Casual Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27361600/2024/9/2/c4fc53dc-a5a6-49c7-8c5c-f2ec49738ae41725261666619-Taavi-Men-Shirts-5371725261666036-1.jpg",men,shirts,"{'sleeve_length': 'Long Sleeves', 'fit': 'Regular Fit', 'print_or_pattern_type': 'Ethnic Motifs', 'occasion': 'Casual', 'length': 'Regular'}"
Roll-Up Sleeves Casual Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/29658416/2024/8/16/794d081d-cd34-44f7-b5fa-b4d836e6f8941723800979054-Roadster-Men-Shirts-1431723800978612-1.jpg",men,shirts,"{'sleeve_length': 'Long Sleeves', 'fit': 'Regular Fit', 'print_or_pattern_type': 'Solid', 'occasion': 'Casual', 'length': 'Regular'}"
Opaque Casual Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24977628/2023/9/30/89224f72-b542-46b5-b622-76e13cd217e31696062980951-MastHarbour-Mens-Pure-Cotton-Shirt-4211696062980464-1.jpg",men,shirts,"{'sleeve_length': 'Long Sleeves', 'fit': 'Regular Fit', 'print_or_pattern_type': 'Solid', 'occasion': 'Casual', 'length': 'Regular'}"
Pure Cotton Casual Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/30390036/2024/9/4/d6bf814d-110c-4997-b533-4ef5f2076e5c1725446349581-WROGN-Men-Shirts-1161725446349094-1.jpg",men,shirts,"{'sleeve_length': 'Long Sleeves', 'fit': 'Regular Fit', 'print_or_pattern_type': 'Other Checks', 'occasion': 'Casual', 'length': 'Regular'}"
Opaque Casual Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2024/AUGUST/28/QV1sPdlc_63dab49523474efa9545789e32835773.jpg",men,shirts,"{'sleeve_length': 'Long Sleeves', 'fit': 'Regular Fit', 'print_or_pattern_type': 'Solid', 'occasion': 'Casual', 'length': 'Regular'}"
Pure Cotton Checked Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/29656008/2024/7/16/deb28209-d61a-4d38-8b7c-1dfa8fa5a4381721114250865-Being-Human-Men-Shirts-4811721114250451-1.jpg",men,shirts,"{'sleeve_length': 'Long Sleeves', 'fit': 'Slim Fit', 'print_or_pattern_type': 'Other Checks', 'occasion': 'Casual', 'length': 'Regular'}"
Slim Fit Opaque Casual Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/29684214/2024/5/21/7007b094-b2f5-4500-b40e-7cf0257a15c81716312198003HIGHLANDERMenSlimFitOpaqueCasualShirt1.jpg",men,shirts,"{'sleeve_length': 'Long Sleeves', 'fit': 'Slim Fit', 'print_or_pattern_type': 'Solid', 'occasion': 'Formal', 'length': 'Regular'}"
Slim Fit Formal Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23876878/2024/9/26/2b0a2f6c-7ff5-4f04-8eb0-6a1811a8ff271727330469519-Park-Avenue-Men-Shirts-7341727330468992-1.jpg",men,shirts,"{'sleeve_length': 'Long Sleeves', 'fit': 'Slim Fit', 'print_or_pattern_type': 'Solid', 'occasion': 'Formal', 'length': 'Regular'}"
Slim Fit Opaque Casual Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23007064/2023/6/5/f20e0c3e-185a-4856-a0b3-26646f7b20201685964457491-THE-BEAR-HOUSE-Men-Black-Slim-Fit-Opaque-Striped-Casual-Shir-1.jpg",men,shirts,"{'sleeve_length': 'Long Sleeves', 'fit': 'Slim Fit', 'print_or_pattern_type': 'Vertical Stripes', 'occasion': 'Casual', 'length': 'Regular'}"
Checked Casual Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/20134876/2022/9/30/d577dd4c-71ca-4c02-a629-5961393d1dbf1664516928640-The-Indian-Garage-Co-Men-Shirts-2251664516928133-1.jpg",men,shirts,"{'sleeve_length': 'Long Sleeves', 'fit': 'Regular Fit', 'print_or_pattern_type': 'Other Checks', 'occasion': 'Casual', 'length': 'Regular'}"
Slim Fit Opaque Formal Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23504372/2023/6/28/2c782152-10fb-4d9e-b3b5-bd0eb71298fe1687944410513-Raymond-Men-Pink-Slim-Fit-Opaque-Formal-Shirt-41016879444100-1.jpg",men,shirts,"{'sleeve_length': 'Long Sleeves', 'fit': 'Slim Fit', 'print_or_pattern_type': 'Solid', 'occasion': 'Formal', 'length': 'Regular'}"
Checked Casual Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/1667073/2017/1/20/11484903762513-Roadster-Men-Black-Regular-Fit-Checked-Casual-Shirt-41484903761959-1.jpg",men,shirts,"{'sleeve_length': 'Long Sleeves', 'fit': 'Regular Fit', 'print_or_pattern_type': 'Tartan Checks', 'occasion': 'Casual', 'length': 'Regular'}"
Checked Oversized Casual Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/29057780/2024/4/18/c6b09acd-8afe-42bc-a975-81e9a7bda10b1713453238044HIGHLANDERMenBuffaloChecksOpaqueCheckedCasualShirt1.jpg",men,shirts,"{'sleeve_length': 'Long Sleeves', 'fit': 'Oversized', 'print_or_pattern_type': 'Buffalo Checks', 'occasion': 'Casual', 'length': 'Regular'}"
Pure Cotton Casual Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/29873628/2024/8/13/10111ac4-b376-4dd6-b907-af7ad56755931723527796585-Nautica-Men-Shirts-3871723527796100-1.jpg",men,shirts,"{'sleeve_length': 'Long Sleeves', 'fit': 'Regular Fit', 'print_or_pattern_type': 'Other Checks', 'occasion': 'Casual', 'length': 'Regular'}"
Classic Printed Casual Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28692908/2024/4/5/37c4225d-1b44-468a-88c0-d9b659139f381712256094819CampusSutraMenClassicFloralOpaquePrintedCasualShirt2.jpg",men,shirts,"{'sleeve_length': 'Long Sleeves', 'fit': 'Regular Fit', 'print_or_pattern_type': 'Ethnic Motifs', 'occasion': 'Casual', 'length': 'Regular'}"
Cotton Oversized Casual Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/29179474/2024/4/25/7eb2f028-45da-41fe-ab61-a508ecd5126d1714020649204HIGHLANDERMenOpaqueCasualShirt1.jpg",men,shirts,"{'sleeve_length': 'Long Sleeves', 'fit': 'Oversized', 'print_or_pattern_type': 'Solid', 'occasion': 'Casual', 'length': 'Regular'}"
Striped Casual Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23749210/2023/8/26/22cc41f3-6971-4041-987e-6191aa8f5ace1693031483825-Powerlook-Men-White-Opaque-Striped-Casual-Shirt-859169303148-1.jpg",men,shirts,"{'sleeve_length': 'Short Sleeves', 'fit': 'Oversized', 'print_or_pattern_type': 'Textured', 'occasion': 'Casual', 'length': 'Regular'}"
Textured Casual Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22737000/2023/4/12/2dbcd612-bdb5-4472-9221-813b0dc250ea1681239243169CampusSutraMensLightBlueTexturedRegularFitCasualShirt1.jpg",men,shirts,"{'sleeve_length': 'Long Sleeves', 'fit': 'Regular Fit', 'print_or_pattern_type': 'Textured', 'occasion': 'Casual', 'length': 'Regular'}"
Pure Cotton Checked Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/29658508/2024/8/29/c86ca2e2-1295-4cc3-bd74-cbf2c482fc461724933229186-Roadster-Men-Shirts-5991724933228619-1.jpg",men,shirts,"{'sleeve_length': 'Long Sleeves', 'fit': 'Relaxed Fit', 'print_or_pattern_type': 'Other Checks', 'occasion': 'Casual', 'length': 'Regular'}"
Opaque Casual Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/31188097/2024/10/16/257e8a2a-74d2-4c30-adcb-5e28a26393c41729051194136-VASTRADO-Men-Classic-Opaque-Casual-Shirt-6561729051193568-1.jpg",men,shirts,"{'sleeve_length': 'Long Sleeves', 'fit': 'Oversized', 'print_or_pattern_type': 'Geometric', 'occasion': 'Casual', 'length': 'Regular'}"
Men Slim Fit Casual Sustainable Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/10343471/2019/9/24/17b997b3-24b2-4fa1-9ade-529b9c9d1ae41569323915985-Mast--Harbour-Men-Shirts-8631569323914685-1.jpg",men,shirts,"{'sleeve_length': 'Long Sleeves', 'fit': 'Slim Fit', 'print_or_pattern_type': 'Solid', 'occasion': 'Casual', 'length': 'Regular'}"
Checked Casual Cotton Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/18960132/2022/7/13/eacc0d7b-9f39-4fe6-bf23-4b487dd14e431657692991683-The-Indian-Garage-Co-Men-Shirts-5141657692991132-1.jpg",men,shirts,"{'sleeve_length': 'Long Sleeves', 'fit': 'Regular Fit', 'print_or_pattern_type': 'Buffalo Checks', 'occasion': 'Casual', 'length': 'Regular'}"
Opaque Brown Casual Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/14641472/2021/10/28/c979bb06-e3c3-4103-9254-64e7039589401635404039009-Roadster-Men-Shirts-361635404034410-1.jpg",men,shirts,"{'sleeve_length': 'Long Sleeves', 'fit': 'Slim Fit', 'print_or_pattern_type': 'Solid', 'occasion': 'Casual', 'length': 'Regular'}"
Slim Fit Casual Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/30126684/2024/7/18/adb5022c-f802-4834-a5ba-e7e11ae7f7111721297376040-Levis-Men-Shirts-5311721297375585-1.jpg",men,shirts,"{'sleeve_length': 'Three-Quarter Sleeves', 'fit': 'Slim Fit', 'print_or_pattern_type': 'Textured', 'occasion': 'Casual', 'length': 'Regular'}"
Men Checked Casual Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/31084096/2024/10/10/7f6fd694-62ae-4fd9-bf02-5b8b77c9043b1728566146443-DENNISON-Mens-Tartan-Checks-Cotton-Casual-Shirt-107172856614-1.jpg",men,shirts,"{'sleeve_length': 'Long Sleeves', 'fit': 'Regular Fit', 'print_or_pattern_type': 'Tartan Checks', 'occasion': 'Casual', 'length': 'Regular'}"
Men Striped Casual Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2024/AUGUST/13/WXtpHMwC_5149313f71134d2987dcb620dfb1f0f6.jpg",men,shirts,"{'sleeve_length': 'Short Sleeves', 'fit': 'Oversized', 'print_or_pattern_type': 'Vertical Stripes', 'occasion': 'Casual', 'length': 'Regular'}"
Slim Fit Cotton Formal Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/30161638/2024/8/7/54102ed1-beb4-4e35-b56c-a8a7d282ecd51723010367248-Raymond-Men-Shirts-5891723010366691-1.jpg",men,shirts,"{'sleeve_length': 'Long Sleeves', 'fit': 'Slim Fit', 'print_or_pattern_type': 'Geometric', 'occasion': 'Formal', 'length': 'Regular'}"
Floral Printed Lyocell Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28941754/2024/4/16/97011740-cba4-4acd-8a74-b080af4cfcf71713258987212FlyingMachineMenFloralOpaquePrintedCasualShirt1.jpg",men,shirts,"{'sleeve_length': 'Short Sleeves', 'fit': 'Regular Fit', 'print_or_pattern_type': 'Floral', 'occasion': 'Casual', 'length': 'Regular'}"
